Sensor,CHI,CHI_Band
LNGMEGIA.CT020.01_Meas1_PRIM,0.3402131128106962,good
LNGMEGIA.CT021.01_Meas1_PRIM,0.3390425232314825,good
LNGMEGIA.CT022.01_Meas1_PRIM,0.3381814356796957,good
LNGMEGIA.CT056.02_Meas1_PRIM,0.3379515531542694,good
LNGMEGIA.CT023.01_Meas1_PRIM,0.3371962634783909,good
LNGMEGIA.CT024.01_Meas1_PRIM,0.3360456562149651,good
LNGMEGIA.CT012.01_Meas1_PRIM,0.3354297525058337,good
LNGMEGIA.CT011.01_Meas1_PRIM,0.3347027732008168,good
LNGMEGIA.CT054.02_Meas1_PRIM,0.3339325709951519,good
LNGMEGIA.CT010.01_Meas1_PRIM,0.3338220421949252,good
LNGMEGIA.CT009.01_Meas1_PRIM,0.3332539767723446,good
LNGMEGIA.CT002.01_Meas1_PRIM,0.3302670063344007,good
LNGMEGIA.CT003.01_Meas1_PRIM,0.3287365322439834,moderate
LNGMEGIA.CT053.02_Meas1_PRIM,0.3279787719185543,moderate
LNGMEGIA.CT004.01_Meas1_PRIM,0.3277950748336284,moderate
LNGMEGIA.CT005.01_Meas1_PRIM,0.3272486188325144,moderate
LNGMEGIA.CT006.01_Meas1_PRIM,0.3271102486675084,moderate
LNGMEGIA.CT013.01_Meas1_PRIM,0.3270253064736372,moderate
LNGMEGIA.CT025.01_Meas1_PRIM,0.3185944165637648,moderate
LNGMEGIA.CT007.01_Meas1_PRIM,0.3183434693936648,moderate
LNGMEGIA.CT008.01_Meas1_PRIM,0.3119519086576388,moderate
LNGMEGIA.CT018.01_Meas1_PRIM,0.252830141482232,moderate
LNGMEGIA.CT017.01_Meas1_PRIM,0.2453285552799204,moderate
LNGMEGIA.CT019.01_Meas1_PRIM,0.2374228729383288,moderate
LNGMEGIA.CT055.02_Meas1_PRIM,0.2242765177996079,moderate
LNGMEGIA.CT016.01_Meas1_PRIM,0.2146690091070973,moderate
LNGMEGIA.CT015.01_Meas1_PRIM,0.1449567529417058,bad
LNGMEGIA.CT055.01_Meas1_PRIM,0.0619516786767336,bad
LNGMEGIA.CT014.01_Meas1_PRIM,0.0572985678525775,bad
LNGMEGIA.CT028_Meas1_PRIM,-0.0640046486853551,bad
LNGMEGIA.CT029_Meas1_PRIM,-0.0724613148063548,bad
LNGMEGIA.CT053.01_Meas1_PRIM,-0.0890419271234039,bad
LNGMEGIA.CT056.01_Meas1_PRIM,-0.0954166581091669,bad
LNGMEGIA.CT027_Meas1_PRIM,-0.0962477226538884,bad
LNGMEGIA.CT026_Meas1_PRIM,-0.0986298994678762,bad
LNGMEGIA.CT_TOTALVOL_Meas1_PRIM,-0.1216187032250283,bad
LNGMEGIA.CT030.12_Meas1_PRIM,-0.1303920414578226,bad
LNGMEGIA.CT054.01_Meas1_PRIM,-0.1714571595452398,bad
LNGMEGIA.CT031.13_Meas1_PRIM,-0.1945541265913576,bad
LNGMEGIA.CT031.12_Meas1_PRIM,-0.1950766886191253,bad
LNGMEGIA.CT033.12_Meas1_PRIM,-0.2068490201151776,bad
LNGMEGIA.CT033.13_Meas1_PRIM,-0.2071933575880975,bad
LNGMEGIA.CT030.13_Meas1_PRIM,-0.2098028273983877,bad
LNGMEGIA.CT032.12_Meas1_PRIM,-0.2309013135724233,bad
LNGMEGIA.CT032.13_Meas1_PRIM,-0.2313080799684631,bad
