Sensor,SRI,SRI_Band,Subsystem,SRI_z_in_subsys
LNGMEGIA.CT_TOTALVOL_Meas1_PRIM,70139.96653155054,bad,Volume,1.9752741604961848
LNGMEGIA.CT031.13_Meas1_PRIM,19184.06164604427,bad,Volume,-0.36515681874931055
LNGMEGIA.CT033.13_Meas1_PRIM,18870.5496917018,bad,Volume,-0.379556584428197
LNGMEGIA.CT032.13_Meas1_PRIM,17625.431400729565,bad,Volume,-0.4367455093931132
LNGMEGIA.CT030.13_Meas1_PRIM,9851.302705843718,bad,Volume,-0.7938152479255646
LNGMEGIA.CT053.01_Meas1_PRIM,94.94164445509288,bad,Liquid_Temperature,0.5977912815683798
LNGMEGIA.CT054.01_Meas1_PRIM,93.87636741799024,bad,Liquid_Temperature,0.5716505853352516
LNGMEGIA.CT056.01_Meas1_PRIM,93.50197659688388,bad,Liquid_Temperature,0.5624634571177588
LNGMEGIA.CT005.01_Meas1_PRIM,53.39010917473306,bad,Cargo_1,0.9672186492148703
LNGMEGIA.CT006.01_Meas1_PRIM,53.30533953076398,bad,Cargo_1,0.8173343118463651
LNGMEGIA.CT007.01_Meas1_PRIM,53.25189733633597,bad,Cargo_1,0.7228411946842548
LNGMEGIA.CT004.01_Meas1_PRIM,52.893703030427645,bad,Cargo_1,0.08950461714922692
LNGMEGIA.CT003.01_Meas1_PRIM,52.38980384978457,bad,Cargo_1,-0.8014581291230896
LNGMEGIA.CT002.01_Meas1_PRIM,51.827640081657854,bad,Cargo_1,-1.7954406437716903
LNGMEGIA.CT053.02_Meas1_PRIM,50.14582406898867,bad,Vapour_Temperature,1.0127160494149574
LNGMEGIA.CT025.01_Meas1_PRIM,42.75705297513949,moderate,Cargo_4,1.2792906948022829
LNGMEGIA.CT024.01_Meas1_PRIM,42.46574227860789,moderate,Cargo_4,0.8638427024265072
LNGMEGIA.CT023.01_Meas1_PRIM,42.232954209613474,moderate,Cargo_4,0.5318557995622163
LNGMEGIA.CT022.01_Meas1_PRIM,41.66723502908919,moderate,Cargo_4,-0.27493537081209557
LNGMEGIA.CT013.01_Meas1_PRIM,41.45042714244348,moderate,Cargo_2,1.6870964069381382
LNGMEGIA.CT021.01_Meas1_PRIM,41.323645728893545,moderate,Cargo_4,-0.7649396400257271
LNGMEGIA.CT012.01_Meas1_PRIM,40.81337395136193,moderate,Cargo_2,0.4980548201412402
LNGMEGIA.CT011.01_Meas1_PRIM,40.77174088405839,moderate,Cargo_2,0.4203478890672694
LNGMEGIA.CT020.01_Meas1_PRIM,40.713482344474265,moderate,Cargo_4,-1.635114185953204
LNGMEGIA.CT010.01_Meas1_PRIM,40.309280607422096,moderate,Cargo_2,-0.44282100932344526
LNGMEGIA.CT009.01_Meas1_PRIM,40.134164972068405,moderate,Cargo_2,-0.7696693413762175
LNGMEGIA.CT008.01_Meas1_PRIM,39.80019820955934,moderate,Cargo_2,-1.3930087654469585
LNGMEGIA.CT056.02_Meas1_PRIM,38.76905884373264,moderate,Vapour_Temperature,0.35907125096941167
LNGMEGIA.CT054.02_Meas1_PRIM,37.56613877298035,moderate,Vapour_Temperature,0.28995824462491415
LNGMEGIA.CT030.12_Meas1_PRIM,11.972400499787724,moderate,Level,1.6085672574013725
LNGMEGIA.CT033.12_Meas1_PRIM,10.550306398762627,good,,
LNGMEGIA.CT031.12_Meas1_PRIM,10.355947627325978,good,Level,0.06934933643990286
LNGMEGIA.CT019.01_Meas1_PRIM,10.152871583944044,good,Cargo_3,1.4716591081436903
LNGMEGIA.CT032.12_Meas1_PRIM,9.402062889479732,good,Level,-0.8389582969206377
LNGMEGIA.CT032.12_Meas1_PRIM,9.402062889479732,good,Level,-0.8389582969206377
LNGMEGIA.CT018.01_Meas1_PRIM,7.716879944192175,good,Cargo_3,0.8166734354097244
LNGMEGIA.CT017.01_Meas1_PRIM,6.152185735099737,good,Cargo_3,0.39596087119511875
LNGMEGIA.CT016.01_Meas1_PRIM,3.712906811742987,good,Cargo_3,-0.2599086812814021
LNGMEGIA.CT055.02_Meas1_PRIM,3.596502884015883,good,Vapour_Temperature,-1.661745545009284
LNGMEGIA.CT028_Meas1_PRIM,1.0892811643346811,good,Pressure,1.3457807979042566
LNGMEGIA.CT027_Meas1_PRIM,1.0483497941201525,good,Pressure,0.5578170863202667
LNGMEGIA.CT029_Meas1_PRIM,0.9793588871495538,good,Pressure,-0.7703165881005022
LNGMEGIA.CT026_Meas1_PRIM,0.960504411213024,good,Pressure,-1.1332812961240233
LNGMEGIA.CT015.01_Meas1_PRIM,0.3397286939745267,good,Cargo_3,-1.1668836079043505
LNGMEGIA.CT014.01_Meas1_PRIM,0.0027083214378241,good,Cargo_3,-1.2575011255627808
LNGMEGIA.CT055.01_Meas1_PRIM,0.0026162357294489,good,Liquid_Temperature,-1.7319053240213915
